BettingSite,Sport,Event,Local,Visitor,Market,Bet,Quote,ScrapDateTime
Marathonbet,Tennis,Croacia vs España,Croacia,España,Match_Result,1,1.43,2022-11-22 19:48:07.608469
Marathonbet,Tennis,Croacia vs España,Croacia,España,Match_Result,3,2.74,2022-11-22 19:48:07.622688
Marathonbet,Tennis,Italia vs EEUU,Italia,EEUU,Match_Result,1,2.94,2022-11-22 19:48:09.511644
Marathonbet,Tennis,Italia vs EEUU,Italia,EEUU,Match_Result,3,1.38,2022-11-22 19:48:09.528506
Marathonbet,Tennis,Alemania vs Canadá,Alemania,Canadá,Match_Result,1,5.05,2022-11-22 19:48:12.087430
Marathonbet,Tennis,Alemania vs Canadá,Alemania,Canadá,Match_Result,3,1.155,2022-11-22 19:48:12.102436
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",Match_Result,1,2.78,2022-11-22 19:48:16.059244
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",Match_Result,3,1.42,2022-11-22 19:48:16.073823
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Sets0,HB_(Local)(-1.5),4.8,2022-11-22 19:48:16.308718
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Sets0,HB_(Visitor)(+1.5),1.139,2022-11-22 19:48:16.366806
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Sets,HB_(Local)(+1.5),1.65,2022-11-22 19:48:16.423622
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Sets,HB_(Visitor)(-1.5),2.08,2022-11-22 19:48:16.478422
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Games2,HB_(Local)(+2.5),2.09,2022-11-22 19:48:16.561606
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Games2,HB_(Visitor)(-2.5),1.66,2022-11-22 19:48:16.618358
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Games1,HB_(Local)(+3.0),1.94,2022-11-22 19:48:16.672818
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Games1,HB_(Visitor)(-3.0),1.79,2022-11-22 19:48:16.730339
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Games,HB_(Local)(+3.5),1.8,2022-11-22 19:48:16.784659
