BettingSite,Sport,Event,Local,Visitor,Market,Bet,Quote,ScrapDateTime
Marathonbet,Tennis,Croacia vs España,Croacia,España,Match_Result,1,1.43,2022-11-22 19:38:51.306654
Marathonbet,Tennis,Croacia vs España,Croacia,España,Match_Result,3,2.74,2022-11-22 19:38:51.325095
Marathonbet,Tennis,Italia vs EEUU,Italia,EEUU,Match_Result,1,2.94,2022-11-22 19:38:53.637677
Marathonbet,Tennis,Italia vs EEUU,Italia,EEUU,Match_Result,3,1.38,2022-11-22 19:38:53.652949
Marathonbet,Tennis,Alemania vs Canadá,Alemania,Canadá,Match_Result,1,5.05,2022-11-22 19:38:56.113526
Marathonbet,Tennis,Alemania vs Canadá,Alemania,Canadá,Match_Result,3,1.155,2022-11-22 19:38:56.129562
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",Match_Result,1,2.74,2022-11-22 19:38:58.161837
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",Match_Result,3,1.43,2022-11-22 19:38:58.176811
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Sets0,HB_(Local)(-1.5),4.7,2022-11-22 19:38:58.441526
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Sets0,HB_(Visitor)(+1.5),1.144,2022-11-22 19:38:58.504459
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Sets,HB_(Local)(+1.5),1.64,2022-11-22 19:38:58.561301
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Sets,HB_(Visitor)(-1.5),2.1,2022-11-22 19:38:58.621695
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Games2,HB_(Local)(+2.5),2.08,2022-11-22 19:38:58.706585
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Games2,HB_(Visitor)(-2.5),1.666,2022-11-22 19:38:58.764307
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Games1,HB_(Local)(+3.0),1.92,2022-11-22 19:38:58.822427
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Games1,HB_(Visitor)(-3.0),1.81,2022-11-22 19:38:58.878764
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Games,HB_(Local)(+3.5),1.79,2022-11-22 19:38:58.938890
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Games,HB_(Visitor)(-3.5),1.98,2022-11-22 19:38:58.996651
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Games0,HB_(Local)(+4.0),1.58,2022-11-22 19:38:59.053469
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Games0,HB_(Visitor)(-4.0),2.26,2022-11-22 19:38:59.114318
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Games3,HB_(Local)(+4.5),1.47,2022-11-22 19:38:59.174177
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",To_Win_Match_With_Handicap_By_Games3,HB_(Visitor)(-4.5),2.49,2022-11-22 19:38:59.230950
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",Total_Sets,Under_2.5,1.49,2022-11-22 19:38:59.324298
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",Total_Sets,Over_2.5,2.4,2022-11-22 19:38:59.374471
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",Total_Games2,Under_21.5,2.04,2022-11-22 19:38:59.466402
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",Total_Games2,Over_21.5,1.69,2022-11-22 19:38:59.516780
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",Total_Games6,Under_22,1.9,2022-11-22 19:38:59.562565
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",Total_Games6,Over_22,1.82,2022-11-22 19:38:59.611361
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",Total_Games7,Under_22.5,1.79,2022-11-22 19:38:59.660474
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",Total_Games7,Over_22.5,1.98,2022-11-22 19:38:59.704535
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",Total_Games9,Under_23,1.68,2022-11-22 19:38:59.751585
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",Total_Games9,Over_23,2.08,2022-11-22 19:38:59.804084
Marathonbet,Tennis,"Carlé, María Lourdes vs Fruhvirtova, Brenda","Carlé, María Lourdes","Fruhvirtova, Brenda",Total_Games10,Under_23.5,1.61,2022-11-22 19:38:59.848890
